ward_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
176,,,,,,44,21,18,,12,,,,11,8,26,25,13,,2,,10,,47,48,,58,,37,,,,,,12,,,79,32,,42,51,6,4,16,,,,,35,75,,,54,22,32,6,17,21,,,,6,,14,1,8,1,32,,26,8,114,,1,3,4,,68,78,67,99,60,12,191,25,29,47,6,14,,,4,61,17,,,,7,12,5,2,5,10,7,6,6,4,28,190,86,50,44,55,14,,45,38,120,5,12,,2,2,19,24,,5,101,59,34,25,21,8,,5,,6,6,101,10,41,276,54,177,139,7,27,28,340,170,76,175,43,,17,9,90,115,116,79,63,55,29,97,137,108,258,188,344,257,50,119,219,25,478,241,21,188,68,52,56,41,39,,,,319,12,25,25,517,361,88,,,10,47
177,,,7,34,,78,38,22,,13,,,,3,3,38,22,11,,17,,9,22,53,59,,60,,41,,22,,,,11,,,62,34,,45,57,5,1,9,,,,,38,32,,,39,5,36,5,60,26,,11,,5,3,9,,9,1,36,,28,7,116,,,5,3,11,87,165,59,87,43,7,146,11,7,85,13,45,,,7,34,17,,,,1,7,3,1,5,11,17,11,3,1,15,89,158,118,20,89,34,,34,45,57,11,34,,1,9,41,24,,5,123,70,34,55,53,,,,,11,3,59,3,45,249,9,81,28,1,34,9,323,257,15,159,47,,32,9,148,127,152,95,99,95,51,152,199,119,375,139,201,186,66,99,211,24,430,396,100,417,118,78,74,51,47,5,,66,74,13,34,34,106,74,70,97,11,43,60
178,,,,,,,,,,,,,,,,,8,,,2,,2,,,1,,,5,4,,,4,,5,5,,5,,,,,,,,5,1,,,,,,,,,,8,,5,,1,,,2,,8,,,,,,,,,,,,,4,1,20,8,,,,13,4,,7,,8,,,8,56,2,,,,,,,,,,,2,,,14,133,59,17,,2,,,5,28,170,5,2,2,5,2,,,,,,,,11,5,,,,2,,,10,2,8,486,1,34,5,,2,,40,8,2,188,8,,,,,5,23,,,,,11,245,175,251,38,2,14,2,8,31,,29,78,101,484,8,13,41,,62,14,272,47,,,,,28,2,135,239,136,545,512
179,0,0,0,2,,15,7,3,,3,,,,,,5,15,5,,6,1,7,,11,11,,17,5,12,,,9,,12,8,,2,11,5,0,7,13,2,,3,3,,,,15,4,,,15,2,11,2,17,3,1,,,2,,3,,,,8,,4,5,37,,,,,3,16,68,13,34,16,3,48,2,0,30,6,22,,,7,34,2,,,,,,3,1,0,1,4,1,,,8,131,168,50,2,33,17,,19,38,104,3,2,1,4,3,3,1,,0,31,19,14,7,16,1,,0,1,0,1,10,1,10,332,14,112,4,0,7,4,91,99,4,175,14,,17,1,35,68,45,21,48,45,36,122,293,136,259,45,21,65,25,27,53,3,77,96,144,369,108,72,101,11,144,9,159,27,5,4,10,10,12,4,85,150,59,378,294
180,0,0,0,1,,0,1,1,1,3,,,,,,1,0,0,0,1,0,,,1,0,,0,,0,,,1,,1,4,,,3,1,,1,3,,,0,0,,,,2,0,,,2,0,0,,1,0,,,,,0,1,,,,2,,0,2,6,,,,,,2,6,0,5,3,,7,0,,3,0,1,,,1,5,0,,,,,,1,0,0,0,1,,,,3,16,23,5,0,4,1,,1,4,11,,,,0,0,1,0,,0,9,2,4,0,3,,,,,,3,4,0,2,24,2,17,,,1,,11,10,0,17,7,,1,1,11,10,24,10,9,9,5,17,44,9,19,5,2,7,2,2,7,0,11,11,1,45,20,32,23,5,28,6,1,0,2,0,2,2,,,2,3,1,23,16
181,1,2,2,8,,,5,4,22,46,,,,,,7,1,4,2,4,4,,,11,,,11,,11,,,8,,12,48,,,24,8,,11,21,,,2,2,,,,5,1,,,,2,1,,11,11,,,,,1,17,,,,12,,7,,39,,,,,,34,41,2,,,,4,1,,29,2,8,,,5,69,1,,,,,,4,,2,7,4,,,,25,177,127,22,5,22,8,,19,19,126,,,,,,11,5,,4,35,8,7,5,,,,,,,17,18,,18,204,31,106,,,8,,18,68,,120,56,,2,,22,39,138,62,7,5,2,72,402,77,93,26,2,19,8,14,12,4,69,58,12,233,250,294,164,31,209,19,5,,,,2,2,,,5,8,4,157,86
182,5,3,13,31,,1,8,5,24,29,,,,,,8,0,7,5,1,5,,,2,4,,,,,,,,,1,19,6,,22,5,,6,15,,1,12,,,,,,6,,,2,6,3,,6,,,,,,2,5,3,13,,9,,4,,26,3,,6,,,,6,9,6,3,,18,3,,4,1,1,,,4,40,10,,,3,13,6,6,,1,4,2,3,6,3,9,97,35,7,,6,1,,6,11,63,,,,,3,6,3,,2,37,11,14,3,13,,,,,,6,10,,59,99,10,44,,,1,,46,13,,70,62,,1,,32,68,191,58,14,17,8,180,183,48,84,19,19,24,7,12,26,2,46,33,24,200,111,100,241,27,367,5,12,10,,,3,3,3,,38,46,10,289,108
183,,,,,,8,8,25,,8,,,,,,42,4,,,,,,,12,21,,,,,,,,,,,,,85,25,,34,77,,,8,,,,,6,17,,,,,,8,12,,,,,,,,,,,47,,21,,132,,,,,,2,21,12,,,,8,,4,,2,4,,,,19,2,,,,,,19,,8,23,14,,,,21,4,34,8,,4,,,,14,44,,,,,,38,19,,12,141,51,8,19,,,,,,,21,53,4,89,23,,8,,,2,,38,6,2,4,,128,,2,62,34,201,213,64,113,51,29,55,2,6,2,2,4,2,,38,12,83,57,,55,64,47,68,64,29,,,,,,,,,,,,,12,29
184,,,,,,,,,,,,11,,8,,,,,,,,,,,,,,,,,,,,,,,,,14,,14,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,14,2,,1,,3,,,1,3,,,,,,,,,1,,,,,43,3,,,1,5,3,1,,,,,,,,4,158,28,7,,3,,,6,1,109,0,,,,,,,,,50,22,20,,,4,,5,,1,5,3,,83,171,13,50,,,2,,,5,1,127,69,7,,,17,122,359,23,13,17,8,215,260,86,132,26,25,23,11,5,3,,36,24,41,326,154,147,422,13,790,18,31,9,,,7,7,67,,107,54,14,654,325
185,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,52,,,,,,,,,,,,,,,20,135,20,,,,,,,5,125,,,,,,,,,,,,,,,,,,,,125,125,31,15,245,,15,,,,,,,,151,47,,,31,31,,188,,,,,15,438,99,67,10,,,,,,,,15,52,109,177,73,31,,99,261,10,31,,,,,,,62,78,15,417,579
186,,,,,,,,,,,,,,,,,,,,2,,2,,,0,,,2,2,,,4,,5,2,,,,,,,,,,1,1,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,2,19,,,,,,,,,,,,,,,,72,13,,,,,,1,3,123,,,,,,,,,,,,,,,,,,,,,1,,,327,1,10,,,,,,,,125,,,,,,5,,,,,,,223,114,121,2,,,,,,,,,126,250,4,2,9,,22,1,130,,,,,,12,,49,74,110,455,433
187,,,81,367,,,163,,,,,,,,,,,,,163,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,203,,,,,,,,,,,,,,,40,407,,,,,,,,163,61,,,,,,,,,,,,,,,,,,,,,,,,428,40,122,,,,,,,,224,,,,,,,,,,,,163,122,142,550,20,81,,,,,,,713,652,1284,40,,244,,203,122,,244,,,,,632,367,795,1264,122,672,
188,,,,,,,,,,,,,,17,6,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,31,,,10,10,,,,,,,,,,,3,10,,,,,,,,,,,,,,10,10,10,,37,10,13,,,,,,,109,3,,,,13,,,,,,,3,,3,2,434,52,,17,6,,,101,36,170,3,10,,,6,,3,,,,,,,34,6,,3,,10,6,158,,10,352,140,399,472,4,3,6,31,19,243,153,6,,,,34,,,,6,13,6,6,6,68,28,150,463,375,1,13,21,50,343,44,,13,13,,,,,,,,854,4,,,1477,1051,258,,,,
189,2,4,10,31,,14,25,,,2,,,,8,,,8,4,,10,,2,,14,31,4,6,,2,,,,,,6,,,16,2,,,8,2,4,2,,,,,6,20,,,6,12,10,,,,,,,,2,6,,,,2,,,8,22,,,,,,,,25,14,6,8,22,10,,,,,,,2,100,2,,,,,,4,2,,,2,,,,4,379,54,,,4,2,,125,218,164,,,,2,2,,,,,12,8,6,,8,,,,,,22,118,,,198,193,448,1267,37,8,10,81,644,33,12,,,2,4,14,20,2,2,16,12,4,10,18,2,10,4,12,22,20,579,383,139,25,14,,20,10,,,,,,,,8,191,427,458,477,,,,,,
190,2,5,5,17,,20,23,,,2,,,,11,,,11,5,,2,,2,,20,33,5,8,,2,,,,,,2,,,23,2,,,11,2,5,2,,,,,10,30,1,,8,8,5,,,,,,,,,8,,,,2,,,11,31,,,,,,,5,23,20,8,11,17,8,,2,,,,,,99,2,,,,,,5,2,,,2,,,,2,383,48,,,8,2,,128,208,139,,,,2,2,,,,,17,11,8,,11,,,,,,30,131,,,184,178,444,1285,34,12,14,66,624,11,2,,,2,5,20,28,25,2,23,17,5,14,25,,17,,8,31,20,590,430,,34,25,,34,20,2,5,,11,,,,,295,351,613,8,,,,,2,
191,3,6,16,49,,23,39,,,3,,,,13,,,13,6,,16,,3,,23,49,6,9,,3,,,,,,9,,,26,3,,,13,3,6,3,,,,,9,32,,,9,19,16,,,,,,,,3,9,,,,3,,,13,36,,,,,,,,39,23,9,13,36,16,,,,,,,3,112,3,,,,,,6,3,,,3,,,,6,410,61,,,6,3,,138,247,181,,,,3,3,,,,,19,13,9,,13,,,,,,24,148,,,216,216,489,1417,42,13,16,160,684,52,13,,,3,6,23,32,29,3,26,19,6,16,31,,19,,9,36,32,625,483,32,39,29,,39,23,3,6,,13,,,,,362,702,508,46,,,,,3,
192,,,15,64,,,28,,,,,,,27,11,,,,,28,,,,,6,3,,,,,,,,,14,,,44,,,,,,,,,,,,1,49,,,16,21,4,,,,,,,,7,,5,16,,,,,,,,,,,,,,22,16,16,,68,19,22,,,,,,7,128,5,,,,22,,,,,,,5,,5,7,474,28,,27,11,,,139,52,250,5,16,,,,,,,,,,,,,,,,,16,15,215,,,304,252,587,843,7,5,11,78,170,320,68,,,,,,,18,,,,,,9,18,13,57,396,468,4,139,102,75,382,44,15,22,,,3,,53,,14,24,1016,181,4,22,2277,1394,476,22,54,109,63
193,,,10,47,,,20,,,,,,,26,10,,,,,20,,,,,,,,,,,,,,,10,,,41,,,,,,,,,,,,,47,,,15,15,,,,,,,,,5,,5,15,,,,,,,,,,,,,,15,15,15,,57,15,20,,,,,,5,133,5,,,,20,,,,,,,5,,5,5,503,27,,26,10,,,132,20,223,5,15,,,,,6,,,,,,,13,13,,6,,15,10,207,,19,382,203,547,629,,5,10,47,15,330,133,13,,,,,,,,,,,,5,58,13,138,543,499,,10,26,1,441,50,2,14,,,,,,,,23,1195,,,,2305,1262,402,1,,,
194,,,2,10,,,4,,,,,,,5,2,,,,,11,,6,,,3,,,13,10,,,10,,13,9,,,9,,,,,,,1,3,,,,,10,,,3,3,,,,,3,,,6,1,,1,3,,,,,,,,,,,10,3,,3,3,3,,12,3,4,,,,,,7,36,1,,,,4,,,,,,,1,,1,1,154,30,,5,2,,,29,18,59,1,3,,,,,,,,,,,,,,,,,3,2,47,,,131,49,145,144,,1,2,10,3,73,54,,,,,,,27,,,,,18,36,31,91,31,101,117,,2,5,,93,41,102,218,13,4,49,,121,13,79,43,253,,,,677,346,236,269,126,278,67
195,,,,,,,,,,,,,,,,,,,,25,,25,,,12,,,50,38,,,38,,50,25,,,,,,,,,,2,12,,,,,,,,,,,,,,12,,,25,,,,,,,,,,,,,,,38,12,,,,,,,,,,,,,,25,71,,,,,,,,,,,,,,,,320,119,,,,,,10,86,61,,,,,,,,,,,,,,,,,,,,,,,,396,10,106,,,,,,,,193,,,,,,,,,,,,50,162,150,391,35,,,,,,,,129,409,867,43,15,137,,139,38,272,157,,,,,73,2,607,828,348,490,
196,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,,,,,,,,,,,,,,,,76,,,,,,,,3,96,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,110,,,,,,,,,,,,,165,83,102,,,,,,,,,7,122,177,9,3,15,,19,3,212,7,,,,,91,,148,181,440,364,66
197,2,2,5,13,,,4,,8,9,,,,,,,,1,1,8,3,,,,,,,,,,,,,1,9,2,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,1,4,,,,,,,0,,1,,,,,,,,,,,,,,,,,5,56,2,,,0,2,1,0,,,,,1,2,1,2,177,16,,,,,,4,4,251,,,,,1,,,,,3,,5,,4,,,,,,12,15,3,31,601,8,15,,,,,,,,242,26,,,3,11,23,110,8,4,5,2,91,493,215,228,2,2,2,1,0,0,,5,13,212,496,73,64,193,3,380,46,381,19,,,1,1,80,,143,111,159,866,914
198,4,7,20,15,,6,6,16,23,33,9,38,,25,1,22,10,4,,1,,,,9,15,,,,,,,,,,19,6,,33,53,,56,19,,12,16,,,,,,12,,,,,,,,,,,,,,,,26,,13,,57,10,40,,,,,,,,9,,,,6,,,,,,,,,62,1,1,,,8,,,,,9,8,18,15,3,8,117,7,,,,,,,3,320,0,,,1,1,15,2,23,4,232,158,45,3,6,27,,24,,2,246,346,171,6,793,,35,,,,,27,,,310,10,,,171,286,296,1397,18,6,6,3,25,617,293,264,13,,,,,15,,33,24,266,514,67,47,96,10,251,85,482,,,,,,61,,46,,38,1217,2497
